;v1;v2;v3;v4;v5;

1;4;110177;3343;43;-71;0
2;5;110177;3343;93;-97;1
3;5;110177;3343;81;-408;0
4;5;110177;3343;17;-1214;0
5;2;110177;3343;84;-351;0
6;3;-84886;-4726;41;-84;0
7;4;-84886;-4726;95;-125;0
8;3;-84886;-4726;40;-12;0
9;3;-84886;-4726;8;89;1
10;5;-84886;-4726;69;427;0
11;2;-84886;-4726;52;-134;1
12;2;-84886;-4726;18;330;1
13;5;-84886;-4726;29;-82;0
14;4;30049;4620;67;-7;1
15;4;30049;4620;51;-236;0
16;5;30049;4620;35;47;0
17;5;30049;4620;82;801;0
18;5;30049;4620;42;91;0
19;3;30049;4620;41;79;0
20;5;-116992;-10182;96;0;0
21;1;-116992;-10182;69;363;1
22;5;-116992;-10182;17;77;1
23;2;-116992;-10182;69;-336;0
24;3;-116992;-10182;52;-270;0
25;3;-116992;-10182;34;-74;0
26;5;12673;-1015;68;55;1
27;2;12673;-1015;45;2;0
28;5;12673;-1015;91;80;1
29;1;35308;-154;65;-31;1
30;5;35308;-154;4;-13;1
31;3;35308;-154;60;299;1
32;5;35308;-154;6;1099;0
33;1;35308;-154;6;-179;1
34;4;31702;-4731;24;-1;0
35;5;31702;-4731;96;80;1
36;1;31702;-4731;55;-657;1
37;2;31702;-4731;88;-160;1
38;3;31702;-4731;2;265;1
39;1;31702;-4731;27;-129;0
40;3;-8371;-380;18;-409;0
41;1;-8371;-380;12;-68;0
42;4;-8371;-380;80;155;0
43;1;-8371;-380;24;92;0
44;1;-8371;-380;79;86;0
45;4;-79666;-6662;38;-79;1
46;1;-79666;-6662;16;-47;1
47;3;-79666;-6662;100;38;0
48;4;-79666;-6662;3;-82;1
49;4;-79666;-6662;21;-51;0
50;3;-79666;-6662;100;661;0
51;5;-79666;-6662;100;347;1
52;2;-79666;-6662;100;-57;0
53;4;126533;-742;96;406;0
54;1;126533;-742;72;-179;0
55;4;126533;-742;91;-438;1
56;5;126533;-742;35;87;0
57;1;126533;-742;91;-140;1
58;1;-33635;-2928;81;73;1
59;3;-33635;-2928;65;829;1
60;5;-33635;-2928;43;160;0
61;5;-33635;-2928;4;25;1
62;3;-57042;-2593;86;200;0
63;4;-57042;-2593;71;2364;1
64;3;53406;2174;93;53;1
65;4;53406;2174;82;13;1
66;3;53406;2174;55;72;1
67;1;27566;6427;20;-83;0
68;5;27566;6427;64;-272;1
69;5;27566;6427;2;60;0
70;1;27566;6427;80;-1085;1
71;3;27566;6427;61;-83;1
72;1;27566;6427;11;23;1
73;3;27566;6427;50;-101;1
74;1;4611;-871;32;-7;0
75;5;4611;-871;90;-36;1
76;1;4611;-871;39;-229;0
77;3;4611;-871;36;-373;1
78;4;4611;-871;26;-177;1
79;1;4611;-871;44;-80;1
80;3;-35586;441;62;124;0
81;3;-35586;441;65;-25;0
82;1;-35586;441;24;-251;1
83;5;-35586;441;13;200;0
84;4;-40073;-1570;60;56;0
85;3;-40073;-1570;88;13;0
86;3;-40073;-1570;58;-149;1
87;5;-40073;-1570;83;-15;0
88;4;-40073;-1570;8;-18;0
89;3;-40073;-1570;98;525;0
90;4;-40073;-1570;27;114;0
91;1;-2064;1737;23;51;1
92;2;-2064;1737;90;534;1
93;3;-2064;1737;0;3;0
94;3;182110;2028;40;-206;1
95;1;182110;2028;58;42;1
96;1;182110;2028;0;-406;0
97;0;-571;-2662;4;0;0
98;1;-571;-2662;91;-159;0
99;1;-571;-2662;79;141;1
100;4;-571;-2662;95;340;0
101;4;-571;-2662;68;214;1
102;3;-571;-2662;82;1;0
103;1;-571;-2662;76;372;0
104;1;-571;-2662;61;67;0
105;0;-43099;-12169;38;0;0
106;3;-43099;-12169;11;-117;1
107;1;-43099;-12169;61;95;0
108;5;-43099;-12169;99;-18;0
109;3;-24876;3795;30;79;1
110;3;2080;18494;16;40;0
111;5;2080;18494;39;-154;0
112;1;2080;18494;15;-414;0
113;4;48446;-4917;13;7;1
114;1;48446;-4917;80;-98;0
115;1;48446;-4917;11;-279;0
116;4;48446;-4917;35;-125;1
117;5;48446;-4917;81;28;1
